scraped_club_name,website,detail_url,Platzadresse,Mitglieder_Maennlich_Gesamt,Mitglieder_Weiblich_Gesamt,Mitglieder_Gesamt_Gesamt,Anzahl_Freiplaetze,Belag_Freiplaetze,Anzahl_Hallenplaetze,Belag_Hallenplaetze,latitude,longitude
Rasdorfer Sport-Club e.V.,www.tennis-rasdorf.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25199,"Eckbertstraße 6a, 36169 Rasdorf, Deutschland",44,50,94,2,Sand,0,-,50.7157293,9.9029895
SG Alemannia 1921 Kleinlüder e.V.,http://www.sga-kleinlueder.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25208,"Am Reet, 36137 Großenlüder, Deutschland",31,2,33,2,Sand,0,-,50.5460935,9.5108516
SG Schwarz-Weiß 1919/45 Hattenhof e.V.,unbekannt,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25180,"Am Rippberg, 36119 Neuhof, Deutschland",56,6,62,2,Quarzsand,0,-,50.4648222,9.6810197
Sportverein 1910 Neuhof e.V.,www.tennis-neuhof.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25235,"Hanauer Straße 14, 36119 Neuhof, Deutschland",61,52,113,4,Sand,0,-,50.4511334,9.6114031
Sportverein Hellas 1921 Michelsrombach e.V.,http://www.hellas-michelsrombach.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25194,"Koenigskueppel, 36088 Huenfeld, Deutschland",46,55,101,2,Quarzsand,0,-,50.6615625,9.6658027
SV Buchonia 1912 Flieden 1912,http://www.svflieden.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25203,"Am Mühlbach, 36103 Flieden, Deutschland",59,33,92,3,Sand,0,-,50.4236059,9.5629871
Tanner-Tennis-Club e.V.,unbekannt,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25202,"Bahnhofstr., 36142 Tann, Deutschland,",33,20,53,3,Quarzsand,0,-,50.6477548,10.020986
TC 1993 Künzell Dicker Turm e.V.,http://www.tc-kuenzell-dicker-turm.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=24793,"Friedenstraße 45, 36093 Künzell, Deutschland",118,81,199,4,Aschenplatz,0,-,50.5346811,9.7323423
TC Schwarz-Weiss 1990 Poppenhausen e.V.,unbekannt,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25195,"Luettergrund, 36163 Poppenhausen, Deutschland",56,33,89,2,Quarzsand,0,-,50.4900188,9.876785
TCB Johannisau Fulda,https://www.tcb-johannisau-fulda.de/,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25231,"Johannisstraße 47, 36041 Fulda, Deutschland",89,93,182,4,Sand,0,-,50.5412582,9.6665854
Tennis Club 88 Mackenzell,unbekannt,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=24836,"Am Schlossgarten, 36088 Hünfeld, Deutschland",35,28,63,2,Sand,0,-,50.6561571,9.7852012
Tennis Club Blau-Weiß Hilders e.V.,http://www.tennisclub-hilders.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=24794,"Heideweg 40, 36115 Hilders, Deutschland",105,72,177,3,Sand,0,-,50.5694753,9.9956364
Tennis Club Nüsttal e.V.,unbekannt,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25211,"Schulstraße, 36167 Nüsttal, Deutschland",75,73,148,2,Sand,0,-,50.63086,9.8483582
